#simple,W12t1c,W12t2c,W12t3c,W12t4c,W12t5c,W12t6c,WC10Mc,WC31Hc,WC32Hc,WC33Hc,WC8Mc,WC9Mc
ko00010; Glycolysis / Gluconeogenesis,0.009120634,0.008932103,0.009051679,0.008846529,0.008785814,0.009006282,0.009203299,0.009246689,0.009041733,0.009104722,0.009073716,0.009054874
ko00020; Citrate cycle (TCA cycle),0.00556169,0.005516351,0.005207278,0.005240593,0.004719259,0.005182261,0.005222988,0.005343298,0.005506083,0.005407851,0.005532141,0.005419472
ko00030; Pentose phosphate pathway,0.009145241,0.009020993,0.008692617,0.008583757,0.008206771,0.008749903,0.008999064,0.00894387,0.009046235,0.008913544,0.009075176,0.008814542
ko00040; Pentose and glucuronate interconversions,0.006608546,0.006565486,0.007193885,0.006633117,0.008173407,0.007399983,0.007074758,0.006865063,0.006737858,0.006802418,0.006673362,0.006870517
ko00051; Fructose and mannose metabolism,0.014591633,0.014463944,0.015326078,0.015600025,0.015902629,0.015107875,0.015268983,0.014940704,0.014703675,0.014832786,0.014621874,0.014801463
ko00052; Galactose metabolism,0.007941997,0.007482015,0.007999145,0.008103552,0.008204358,0.008125286,0.008276781,0.008236773,0.007930648,0.008047945,0.008089283,0.007818006
ko00053; Ascorbate and aldarate metabolism,0.002585226,0.002504402,0.00217812,0.002050747,0.001628887,0.002282463,0.00237168,0.002442436,0.002493102,0.00245557,0.00255556,0.002419635
ko00061; Fatty acid biosynthesis,0.007234829,0.007141224,0.006802743,0.00682394,0.006246033,0.00670859,0.006902826,0.006979611,0.007114912,0.006945158,0.007098861,0.007022533
ko00062; Fatty acid elongation,2.63E-05,2.65E-05,2.09E-05,1.92E-05,1.55E-05,2.16E-05,2.11E-05,2.38E-05,2.50E-05,2.30E-05,2.60E-05,2.34E-05
ko00071; Fatty acid metabolism,0.003327486,0.003229129,0.002732833,0.002636222,0.002248426,0.002842385,0.002882677,0.003035767,0.003137502,0.003113583,0.003214082,0.003069568
ko00072; Synthesis and degradation of ketone bodies,0.00060586,0.000582394,0.000508249,0.000497592,0.000427359,0.000522909,0.000535254,0.000558107,0.000567287,0.000564751,0.000582723,0.000573191
ko00100; Steroid biosynthesis,0.000113121,0.000100317,6.79E-05,6.86E-05,4.30E-05,7.69E-05,8.45E-05,9.64E-05,9.58E-05,9.45E-05,0.000100451,9.10E-05
ko00120; Primary bile acid biosynthesis,0.000303121,0.000274643,0.000296006,0.000280706,0.000330357,0.000312478,0.000315256,0.00030868,0.000278858,0.00029317,0.000290248,0.000300944
ko00121; Secondary bile acid biosynthesis,0.000254825,0.000223522,0.000256345,0.000242293,0.000302695,0.000271689,0.000277841,0.000266845,0.000231556,0.000249307,0.000253096,0.00025577
ko00130; Ubiquinone and other terpenoid-quinone biosynthesis,0.006444152,0.006348284,0.005638471,0.005778274,0.004424588,0.005409237,0.005763815,0.005946168,0.006313652,0.005933284,0.006199249,0.006125651
ko00140; Steroid hormone biosynthesis,0.000960551,0.000872695,0.000713497,0.000724965,0.000468097,0.000754245,0.000842918,0.000870006,0.000904939,0.000868721,0.000922399,0.000846376
ko00190; Oxidative phosphorylation,0.017502431,0.017693009,0.016770185,0.017009139,0.016371242,0.017078429,0.017078845,0.017187042,0.017589484,0.017443469,0.01749484,0.017351233
ko00195; Photosynthesis,0.003841534,0.00412441,0.003850633,0.003821481,0.003787508,0.003507068,0.003596388,0.003549908,0.003831064,0.003555266,0.003537826,0.003933455
ko00196; Photosynthesis - antenna proteins,0.000296484,0.000360215,0.000286508,0.000227012,0.000103301,0.000134007,0.000181508,0.000173942,0.000293362,0.000174764,0.000200165,0.000319253
ko00230; Purine metabolism,0.034669573,0.034621021,0.03591533,0.036082222,0.036738379,0.03524233,0.035540092,0.03533696,0.034887769,0.035200357,0.034712284,0.035143426
ko00232; Caffeine metabolism,8.43E-05,8.28E-05,6.41E-05,5.95E-05,4.26E-05,6.62E-05,7.49E-05,7.57E-05,8.07E-05,7.54E-05,7.67E-05,7.55E-05
ko00240; Pyrimidine metabolism,0.025015962,0.025251508,0.026553947,0.027274307,0.027934656,0.02655263,0.026366811,0.026179091,0.025230264,0.026027081,0.025709144,0.0258428
"ko00250; Alanine, aspartate and glutamate metabolism",0.012383825,0.012342434,0.012853886,0.012955913,0.013494748,0.01306975,0.01287412,0.012814074,0.012400789,0.012711595,0.012657413,0.012774838
ko00253; Tetracycline biosynthesis,0.000379419,0.000388465,0.000355516,0.000349859,0.000351214,0.000356714,0.00036266,0.000366652,0.000377814,0.000362271,0.000371451,0.00037002
"ko00260; Glycine, serine and threonine metabolism",0.013953295,0.014030295,0.013446171,0.013300295,0.012461762,0.013323431,0.013556478,0.013710482,0.01389691,0.013908605,0.013829949,0.013832956
ko00270; Cysteine and methionine metabolism,0.0114486,0.011673494,0.012536334,0.012316134,0.01270462,0.011884332,0.011735011,0.01157614,0.011577505,0.011601553,0.01153374,0.011857087
"ko00280; Valine, leucine and isoleucine degradation",0.005981342,0.005930132,0.005192916,0.005025399,0.004125978,0.005204015,0.005270591,0.005519009,0.00574782,0.005640211,0.00578791,0.005653321
ko00281; Geraniol degradation,0.003034088,0.002850488,0.002330149,0.002237266,0.001755522,0.002445846,0.002533168,0.002693207,0.002737449,0.002722222,0.002824062,0.002742951
"ko00290; Valine, leucine and isoleucine biosynthesis",0.005008244,0.004958273,0.005061619,0.004781772,0.00494832,0.005109828,0.004995134,0.005048537,0.005029652,0.004991815,0.005035213,0.005109927
ko00300; Lysine biosynthesis,0.009883036,0.00978222,0.010393243,0.01057046,0.010657785,0.01009467,0.010192429,0.010061385,0.009905719,0.010058037,0.009901822,0.010039504
ko00310; Lysine degradation,0.0046577,0.004794859,0.003918139,0.003795571,0.003140739,0.004146664,0.004161603,0.004271068,0.004567726,0.004373303,0.004710762,0.004310021
ko00311; Penicillin and cephalosporin biosynthesis,0.001702204,0.001853934,0.001351959,0.001255884,0.000953012,0.001518686,0.001432886,0.001489508,0.00167352,0.00157492,0.001809845,0.001495901
ko00312; beta-Lactam resistance,0.000999396,0.001059187,0.001132556,0.00098131,0.001040162,0.001081807,0.001023043,0.001014583,0.001028526,0.001040657,0.001059436,0.001050048
ko00330; Arginine and proline metabolism,0.018452927,0.018624625,0.018516851,0.018420103,0.018395326,0.019021694,0.018716146,0.018789223,0.018407243,0.018713248,0.018773241,0.0188444
ko00331; Clavulanic acid biosynthesis,7.06E-06,6.63E-06,5.28E-06,4.48E-06,2.74E-06,5.03E-06,4.71E-06,5.64E-06,6.19E-06,5.82E-06,6.33E-06,6.19E-06
ko00340; Histidine metabolism,0.008470148,0.008626073,0.008910223,0.008645317,0.008997151,0.008821036,0.008714909,0.008612284,0.008556641,0.008654275,0.008669541,0.00872289
ko00350; Tyrosine metabolism,0.005763938,0.005661565,0.005550343,0.005448447,0.005297522,0.005636753,0.005636883,0.005702212,0.005646829,0.005722051,0.005769717,0.005727943
ko00351; DDT degradation,0.000184521,0.00017002,0.000142757,0.000139223,0.000106203,0.000146957,0.000149704,0.000157889,0.000174677,0.000170633,0.000180545,0.000166324
ko00360; Phenylalanine metabolism,0.005561638,0.005652517,0.005138872,0.004793903,0.004279023,0.005071929,0.004996119,0.005183889,0.005408938,0.005261652,0.00540464,0.005406854
ko00361; Chlorocyclohexane and chlorobenzene degradation,0.001253469,0.001228693,0.000966667,0.000907072,0.000703803,0.00101809,0.001042602,0.001104735,0.001173434,0.001129783,0.001189342,0.001138939
ko00362; Benzoate degradation,0.005384087,0.005208676,0.004962502,0.004723395,0.004632504,0.005061918,0.005028124,0.005161371,0.005161562,0.005205828,0.005219179,0.005235869
